"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"MF";"MPN";"PROD_ID";"SF_ID";"VALUE_PART";
"4";"";"C-EU0.1UFC0603";"C0603";"C1, C2, C3, C4";"CAPACITOR, European symbol";"1276-1005-1-ND";"Samsung";"CL10B104KO8NNNC";"";"";"";
"2";"";"CONN_04SCREW";"SCREWTERMINAL-3.5MM-4";"J1, J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"2xCONN-08399";"2xPRT-08084";"";
"1";"";"LED1206";"LED-1206";"LED1";"LEDs";"";"";"";"";"";"";
"1";"";"M02LOCK";"1X02_LOCK";"JP1";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";
"1";"";"M03SCREW";"SCREWTERMINAL-3.5MM-3";"JP2";"Header 3";"";"";"";"CONN-08288";"";"";
"2";"";"M083.5MM-8";"SCREWTERMINAL-3.5MM-8";"H2, H4";"Header 8";"";"";"";"";"";"";
"4";"";"R-US_0207/10";"0207/10";"A0, A1, A2, A3";"RESISTOR, American symbol";"";"";"";"";"";"";
"1";"0.1uF";"C-EU0.1UFC0603";"C0603";"CLOCK_BATT_DECOUP";"CAPACITOR, European symbol";"1276-1005-1-ND";"Samsung";"CL10B104KO8NNNC";"";"";"";
"1";"10 uF";"C-EU10UFC0805";"C0805";"CLK_DECOUP";"CAPACITOR, European symbol";"1276-2405-1-ND";"Samsung";"CL21A106KQCLRNC";"";"";"";
"2";"10k";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";"";
"1";"330";"R-EU_330R0603";"R0603";"R_LED1";"RESISTOR, European symbol";"311-330HRCT-ND";"Yageo";"RC0603FR-07330RL";"";"";"330";
"1";"4050D";"4050D";"SO16";"LSHIFT1";"Hex non-inverting BUFFER";"";"";"";"";"";"";
"1";"ALOG_LOG";"ALOG_LOG";"ALOG_LOG";"U$3";"";"";"";"";"";"";"";
"1";"AWICKERT_ARDUINO_SHIELD_PIN_PURPOSE";"AWICKERT_ARDUINO_SHIELD_PIN_PURPOSE";"AWICKERT_ARDUINO_SHIELD_PINS_ONLY";"U$9";"";"";"";"";"";"";"";
"1";"BAT54";"DIODE_AC-CA_";"SOT23C";"D2";"DUAL DIODE";"";"";"";"";"";"";
"1";"DS3231M";"DS3231M";"SO08";"RTC1";"DS3231M Real Time Clock";"DS3231MZ+-ND";"Maxim";"DS3231MZ+";"";"";"";
"1";"LOG";"BUTTON4.2X3.2";"SWITCH_4.2X3.2";"LOG";"Genaric SPST Pushbutton";"";"";"";"";"";"";
"1";"Linx BAT-HLD-012-SMT";"LINX-BAT-HLD-012-SMT-OTL";"LINX_BAT-HLD-012-SMT";"CLOCK_BATT";"";"";"";"";"";"";"";
"1";"MADE_IN_MN_220_SHIELD";"MADE_IN_MN_220_SHIELD";"MADE_IN_MN_SHIELD_220";"U$2";"";"";"";"";"";"";"";
"1";"NWLOGO_MED";"NWLOGO_MED";"NWLOGO_MED";"U$1";"Medium-sized Northern Widget logo";"";"";"";"";"";"";
"1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"LOGO1";"Open Source Hardware Logo";"";"";"";"";"";"";
"1";"Reset";"BUTTON4.2X3.2";"SWITCH_4.2X3.2";"RESET";"Genaric SPST Pushbutton";"";"";"";"";"";"";
"1";"SDMMC06132";"SDMMC06132";"06132";"SD1";"SD MMC Card holder";"";"";"";"";"";"";
